province_state,date,confirmed,deaths,active
Louisiana,2020-07-14,125,0,125
Kansas,2020-07-14,81,0,81
Minnesota,2020-07-14,6,0,6
Pennsylvania,2020-07-14,1770,211,1559
Missouri,2020-07-14,102,1,101
Arkansas,2020-07-14,32,2,30
Florida,2020-07-14,61,0,61
Louisiana,2020-07-14,4216,55,4161
Mississippi,2020-07-14,527,4,523
Missouri,2020-07-14,104,2,102
Wisconsin,2020-07-14,83,0,83
Louisiana,2020-07-14,1677,91,1586
California,2020-07-14,122,1,121
Colorado,2020-07-14,54,0,54
Florida,2020-07-14,2783,27,2756
Illinois,2020-07-14,10464,429,10035
Indiana,2020-07-14,5764,251,5513
Michigan,2020-07-14,14,0,14
Minnesota,2020-07-14,9,0,9
Montana,2020-07-14,80,0,80
Ohio,2020-07-14,643,22,621
Oregon,2020-07-14,24,0,24
South Dakota,2020-07-14,37,1,36
Tennessee,2020-07-14,696,0,696
Minnesota,2020-07-14,0,0,0
Alabama,2020-07-14,95,1,94
Georgia,2020-07-14,152,6,146
Mississippi,2020-07-14,612,7,605
Texas,2020-07-14,418,14,404
Texas,2020-07-14,89,0,89
Vermont,2020-07-14,40,1,39
Texas,2020-07-14,40,0,40
Nebraska,2020-07-14,2216,13,2203
Pennsylvania,2020-07-14,4876,386,4490
South Carolina,2020-07-14,672,16,656
Virginia,2020-07-14,20,0,20
Nevada,2020-07-14,45,0,45
Kansas,2020-07-14,5,0,5
Oregon,2020-07-14,317,3,314
Wisconsin,2020-07-14,11,1,10
Georgia,2020-07-14,168,3,165
Michigan,2020-07-14,331,32,299
Wyoming,2020-07-14,352,0,352
Colorado,2020-07-14,959,30,929
Kentucky,2020-07-14,21,1,20
Colorado,2020-07-14,10,0,10
California,2020-07-14,441,0,441
Idaho,2020-07-14,36,0,36
Oklahoma,2020-07-14,22,1,21
Alabama,2020-07-14,633,7,626
Mississippi,2020-07-14,975,81,894
Tennessee,2020-07-14,204,4,200
Kentucky,2020-07-14,191,3,188
Georgia,2020-07-14,384,1,383
South Carolina,2020-07-14,789,14,775
Texas,2020-07-14,340,1,339
Alabama,2020-07-14,151,0,151
Arkansas,2020-07-14,123,9,114
Illinois,2020-07-14,13,0,13
Indiana,2020-07-14,253,25,228
Kentucky,2020-07-14,13,0,13
Mississippi,2020-07-14,218,2,216
Missouri,2020-07-14,60,2,58
Ohio,2020-07-14,93,0,93
Pennsylvania,2020-07-14,200,9,191
South Dakota,2020-07-14,21,0,21
Tennessee,2020-07-14,259,6,253
Oklahoma,2020-07-14,63,1,62
Minnesota,2020-07-14,142,1,141
New Mexico,2020-07-14,291,0,291
Mississippi,2020-07-14,651,20,631
Kansas,2020-07-14,1227,7,1220
Pennsylvania,2020-07-14,1474,50,1424
Alabama,2020-07-14,1716,37,1679
Arkansas,2020-07-14,850,5,845
Florida,2020-07-14,10631,203,10428
Georgia,2020-07-14,432,22,410
Illinois,2020-07-14,109,2,107
Iowa,2020-07-14,54,2,52
Kentucky,2020-07-14,1,0,1
Mississippi,2020-07-14,640,23,617
North Carolina,2020-07-14,950,8,942
South Carolina,2020-07-14,350,23,327
Texas,2020-07-14,98,3,95
Virginia,2020-07-14,22,0,22
Michigan,2020-07-14,46,0,46
Mississippi,2020-07-14,569,56,513
Pennsylvania,2020-07-14,4450,329,4121
Idaho,2020-07-14,4,0,4
Michigan,2020-07-14,285,11,274
North Carolina,2020-07-14,432,11,421
Florida,2020-07-14,2520,10,2510
Texas,2020-07-14,98,0,98
Kentucky,2020-07-14,11,0,11
Kentucky,2020-07-14,21,0,21
Florida,2020-07-14,282,2,280
Kentucky,2020-07-14,24,0,24
Missouri,2020-07-14,9,1,8
New York,2020-07-14,32,0,32
Tennessee,2020-07-14,12,0,12
Washington,2020-07-14,104,3,101
West Virginia,2020-07-14,23,2,21
Montana,2020-07-14,57,0,57
South Carolina,2020-07-14,3151,64,3087
Virginia,2020-07-14,19,0,19
Florida,2020-07-14,276,1,275
Georgia,2020-07-14,281,2,279
Montana,2020-07-14,1,0,1
Texas,2020-07-14,550,3,547
Ohio,2020-07-14,619,13,606
Alabama,2020-07-14,691,4,687
Texas,2020-07-14,107,1,106
Arkansas,2020-07-14,1052,11,1041
Colorado,2020-07-14,4,0,4
Georgia,2020-07-14,69,2,67
Idaho,2020-07-14,43,0,43
Kansas,2020-07-14,4,0,4
Kentucky,2020-07-14,61,1,60
Louisiana,2020-07-14,460,19,441
Maine,2020-07-14,26,0,26
Minnesota,2020-07-14,32,0,32
Mississippi,2020-07-14,541,36,505
Missouri,2020-07-14,122,1,121
Montana,2020-07-14,40,1,39
Nebraska,2020-07-14,62,2,60
Nevada,2020-07-14,2,0,2
New Mexico,2020-07-14,25,0,25
North Carolina,2020-07-14,450,2,448
Oklahoma,2020-07-14,47,2,45
